Economico,"Nombre Sucursal","Fecha Ingreso","Fecha Promesa","Fecha Entrega",Motivo,"Costo por Reparacion","Dias en Detencion",nombreEstatus,Comentarios,Mad,Operacion,nombreTaller
TZ-173,Zacatecas,2020-02-10,2020-02-13,2020-02-14,Siniestro,0,4,Terminada,"INTENCIONAL DE SATÉLITE",MOTRIZ,Modelo,Omnitracs
TZ-193,Zacatecas,2020-02-07,2020-02-11,2020-02-14,"Mantenimiento Correctivo",7890,7,Terminada,"REVISAR ALBARDONES
REVISAR SOPORTES DE MOTOR
REVISAR SOPORTES DE CABINA
REPARACION DE FUGA DE RADIADOR
PREVENTIVO",MOTRIZ,Modelo,"Centro Diesel Profesional"
DH-129,Tuxtepec,2020-02-10,2020-02-10,2020-02-10,"Mantenimiento Preventivo",1400,0,Terminada,"Mantto. Preventivo A ",DOLLY,Modelo,"Alfredo Carretero Azamar"
TZ-241,Tuxtepec,2020-02-10,2020-02-10,2020-02-11,"Mantenimiento Correctivo",13000,1,Terminada,"Bujes de muelles y albardones dañados, clutch del compresor del a/c dañado",MOTRIZ,Modelo,"Alfredo Carretero Azamar"
TZ-252,Tuxtepec,2020-02-10,2020-02-10,2020-02-10,"Mantenimiento Correctivo",1400,0,Terminada,"Cambio de válvula niveladora delantera por fuga de aire",MOTRIZ,Modelo,"Patio Zemog"
TZ-256,Tuxtepec,2020-02-10,2020-02-10,2020-02-10,"Mantenimiento Correctivo",2000,0,Terminada,"Limpieza de radiador y post enfriador por alta temperatura",MOTRIZ,Modelo,"Ricardo Santiago Velazquez"
4425,Tuxtepec,2020-02-10,2020-02-10,2020-02-11,"Mantenimiento Correctivo",2000,1,Terminada,"Cambio de bolsa de aire pos. 2",ARRASTRE,Modelo,"Alfredo Carretero Azamar"
TZ-250,Tuxtepec,2020-02-11,2020-02-11,2020-02-11,"Mantenimiento Correctivo",100,0,Terminada,"Checar niveles de aceite de motor y anticongelante, arreglar faro neblinero lado derecho",MOTRIZ,Modelo,"Patio Zemog"
TZ-248,Tuxtepec,2020-02-11,2020-02-11,2020-02-12,"Mantenimiento Correctivo",2500,1,Terminada,"Cambio de bolsa de aire en suspensión delantera lado izquierdo, revisar check ambar ya que desactiva el freno de motor y control crucero, cambio de tacón de cofre lado der.",MOTRIZ,Modelo,"Alfredo Carretero Azamar"
TZ-242,Tuxtepec,2020-02-11,2020-02-11,2020-02-12,"Mantenimiento Correctivo",1,1,Terminada,"Posible falla en sistema de combustible (comenta operador en ocasiones pierde potencia y expulsa humo negro)",MOTRIZ,Modelo,"Patio Zemog"
